url,title,authors,publisher,pubdate,price,rating,votes,want_to_read,reading,read
https://book.douban.com/subject/1476651/,社会心理学,[美] 戴维·迈尔斯,人民邮电出版社,2006-1,68.00元,9.0,29156,240988,15994,55029
https://book.douban.com/subject/4166819/,你好，旧时光（上 下）,八月长安,新世界出版社,2009-12,39.80元,8.7,52482,50589,3992,99587
https://book.douban.com/subject/4187411/,万物有灵且美,[英] 吉米·哈利,中国城市出版社,2010-1,28.80,8.9,24801,148442,3510,35829
https://book.douban.com/subject/4207781/,孩子你慢慢来,龙应台,生活·读书·新知三联书店,2009-12-1,28.00元,8.7,83210,56683,2964,174908
https://book.douban.com/subject/4238362/,送你一颗子弹,刘瑜,上海三联书店,2010-1,25.00元,8.6,146911,158399,18026,190997
https://book.douban.com/subject/4760224/,许三观卖血记,余华,作家出版社,2012-9,24.00元,9.2,201783,69421,2726,339692
https://book.douban.com/subject/4820710/,1984,[英] 乔治·奥威尔,北京十月文艺出版社,2010-4-1,28.00,9.4,311600,0,0,0
https://book.douban.com/subject/4881850/,阿勒泰的角落,李娟,万卷出版公司,2010-6,25.00元,9.1,24866,59008,2875,37731
https://book.douban.com/subject/1007305/,红楼梦,[清] 曹雪芹 著 高鹗,人民文学出版社,1996-12,59.70元,9.7,463323,207025,48746,733313
https://book.douban.com/subject/6709783/,浪潮之巅,吴军,电子工业出版社,2011-8,55.00元,9.0,35198,106497,6091,51554
https://book.douban.com/subject/6781808/,杀死一只知更鸟,[美] 哈珀·李,译林出版社,2012-9,32.00元,9.2,162639,288665,12748,239555
https://book.douban.com/subject/6789551/,不存在的骑士,[意] 伊塔洛·卡尔维诺,译林出版社,2012-4,22.00元,8.9,30531,36045,1222,42908
https://book.douban.com/subject/6789605/,树上的男爵,[意大利]伊塔洛·卡尔维诺,译林出版社,2012-4-1,30.00元,9.1,71340,150659,5471,102768
https://book.douban.com/subject/6798611/,史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森,中信出版社,2011-10-24,68.00元,8.8,65064,89838,13974,117885
https://book.douban.com/subject/1002299/,笑傲江湖（全四册）,金庸,生活·读书·新知三联书店,1994-5,76.80元,9.1,118283,47951,2174,217602
https://book.douban.com/subject/1007914/,窗边的小豆豆,[日] 黑柳彻子 著 岩崎千弘 图,南海出版公司,2003-1,20.00元,8.9,226013,92793,6047,346975
https://book.douban.com/subject/1008145/,围城,钱锺书,人民文学出版社,1991-2,19.00,9.0,461714,263735,28989,673887
https://book.douban.com/subject/1011754/,海子的诗,海子,人民文学出版社,1999-04,15.40,9.0,50096,78449,4360,155377
https://book.douban.com/subject/1013267/,唐诗三百首,蘅塘退士 陈婉俊,中华书局,1984-07-01,0.65,9.4,30648,25071,2339,66655
https://book.douban.com/subject/1013416/,雷雨,曹禺,人民文学出版社,1999-05,9.20,8.7,85620,32838,961,171386
https://book.douban.com/subject/1014561/,古文观止,吴楚材 吴调侯,中华书局,1987-1-1,21.00元,9.1,20509,34873,4078,39816
https://book.douban.com/subject/1014825/,我也有一个梦想,林达,生活·读书·新知三联书店,2004-08,25.00元,9.0,16954,38112,1823,27831
https://book.douban.com/subject/1019568/,三国演义（全二册）,[明] 罗贯中,人民文学出版社,1998-05,39.50元,9.3,183186,72912,9436,373846
